DEA Number	SMILES	INCHI FULL	INCHI PARENT	URL	Name	theLychiKey	NARC	CSA SCH	Other Names	Source	UNII	SCHED	Notes
DEA-1235	C[C@H](N)C(=O)c1ccccc1	InChIKey=PUAQLLVFLMYYJJ-ZETCQYMHSA-N	InChIKey=PUAQLLVFLMYYJJ-ZETCQYMHSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Cathinone	AFVZ3WGRH-HUKXBH13DK-HKG93SVNP8Q-HKQW8HRTGXJX	N	I	Constituent of "Khat" plant	FDA-SRS	540EI4406J	DEA SCHEDULE I	
DEA-1246	CCCC(NC)C(=O)c1ccccc1	InChIKey=WLIWIUNEJRETFX-UHFFFAOYSA-N	InChIKey=WLIWIUNEJRETFX-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Pentedrone (α-methylaminovalerophenone)	V31T5VPZS-S9YL8TNFXC-SCL45YVKVD5-SC5SURP7CRCH	N	I	2-(methylamino)-1-phenylpentan-1-one)(Positional	FDA-SRS	2ELU1B757Q	DEA SCHEDULE I	
DEA-1248	CNC(C)C(=O)c1ccc(C)cc1	InChIKey=YELGFTGWJGBAQU-UHFFFAOYSA-N	InChIKey=YELGFTGWJGBAQU-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mephedrone (4-Methyl-N-methylcathinone)	G87TP5T6R-R2Z418RS55-R5T4P96Z3UN-R5NGZB4G63PC	N	I	(Positional Isomers: 3-Methyl-methcathinone,	FDA-SRS	8BA8T27317	DEA SCHEDULE I	Need to add isomers
DEA-1503	CC(Cc1ccccc1)NCCn1cnc2n(C)c(=O)n(C)c(=O)c12	InChIKey=NMCHYWGKBADVMK-UHFFFAOYSA-N	InChIKey=NMCHYWGKBADVMK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Fenethylline	7L6FWZDBS-SX7ZWAXU4N-SNF78T7RLLW-SNWD9X19761U	N	I	Captagon,amfetyline,ethyltheophylline amphetamine	FDA-SRS	YZ0N7VL5R3	DEA SCHEDULE I	
DEA-1585	NC1=NCC(O1)c1ccccc1	InChIKey=SYAKTDIEAPMBAL-UHFFFAOYSA-N	InChIKey=SYAKTDIEAPMBAL-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Aminorex	ZV2SB5KXR-R1YKHDP7BZ-RZ94QQKNV91-RZ1C8H7ZX7M3	N	I	has been sold as methamphetamine	FDA-SRS	2SH16612I9	DEA SCHEDULE I	
DEA-2010	OCCCC(O)=O	InChIKey=SJZRECIVHVDYJC-UHFFFAOYSA-N	InChIKey=SJZRECIVHVDYJC-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Gamma Hydroxybutyric Acid	LP6YY9HD1-1U4N4DW588-18H48HW896H-18HB6484VTJ8	N	I	GHB, gamma hydroxybutyrate, sodium oxybate	FDA-SRS	30IW36W5B2	DEA SCHEDULE I	
DEA-2565	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	InChIKey=JEYCTXHKTXCGPB-UHFFFAOYSA-N	InChIKey=JEYCTXHKTXCGPB-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Methaqualone	15HWF37NU-UUV1XFLZ2Y-UY6ZWA38WAC-UYCWHXTLJCB9	N	I	Quaalude, Parest, Somnafac, Opitimil, Mandrax	FDA-SRS	7ZKH8MQW6T	DEA SCHEDULE I	
DEA-2572	Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl	InChIKey=SFITWQDBYUMAPS-UHFFFAOYSA-N	InChIKey=SFITWQDBYUMAPS-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mecloqualone	15HWF37NU-UP362R5DTL-ULAYK2R55QB-ULB5MWLLBFWP	N	I	Nubarene	FDA-SRS	09XU4VDV7E	DEA SCHEDULE I	
DEA-6250	CCCCCn1cc(C(=O)Cc2ccccc2OC)c2ccccc12	InChIKey=FFLSJIQJQKDDCM-UHFFFAOYSA-N	InChIKey=FFLSJIQJQKDDCM-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-250 (1-Pentyl-3-(2-methoxyphenylacetyl) indole)	ZN6HN2CMW-WJD4YAVJR2-W2Q2UVQHKQV-W2VWU2WKS5XS	N	I	JWH-250	FDA-SRS	IP9911R8A0	DEA SCHEDULE I	
DEA-7118	CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc12	InChIKey=JDNLPKCAXICMBW-UHFFFAOYSA-N	InChIKey=JDNLPKCAXICMBW-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-018 (also known as AM678) (1-Pentyl-3-(1-naphthoyl)indole)	K6BW26Q6V-VBQG6T9NXK-VKP1DA8T94F-VKFTDZGUTJKU	N	I	JWH-018 and AM-678	FDA-SRS	G391998J57	DEA SCHEDULE I	
DEA-7200	O=C(c1cn(CCN2CCOCC2)c2ccccc12)c1cccc2ccccc12	InChIKey=SZWYXJHTNGJPKU-UHFFFAOYSA-N	InChIKey=SZWYXJHTNGJPKU-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-200 (1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole)	LW93SD1S1-1CJSSJZCZB-1BZ9UTHY15N-1BNXAULTMA7F	N	I	JWH-200	FDA-SRS	9HN5J913P3	DEA SCHEDULE I	
DEA-7201	FCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc12	InChIKey=ALQFAGFPQCBPED-UHFFFAOYSA-N	InChIKey=ALQFAGFPQCBPED-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	AM-2201 (1-(5-Fluoropentyl)-3-(1-naphthoyl) indole)	GC31D9R4N-N7RVFBT9UY-NYQ595JQNMR-NYRZ7P979GT7	N	I	AM-2201	FDA-SRS	TBJ0966F1O	DEA SCHEDULE I	
DEA-7260	CC[C@H]1C[C@H]2C[C@@H]3[C@H]1N(C2)CCc1c3[nH]c2ccc(OC)cc12	InChIKey=HSIBGVUMFOSJPD-NXWOVTFFSA-N	InChIKey=HSIBGVUMFOSJPD-NXWOVTFFSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Ibogaine	S2X34Q3R9-95VGMFVP33-93QZY31J1ZL-93LDB1KHWNTZ	N	I	Constituent of "Tabernanthe iboga" plant	FDA-SRS	3S814I130U	DEA SCHEDULE I	
DEA-7315	CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34	InChIKey=VAYOSLLFUXYJDT-RDTXWAMCSA-N	InChIKey=VAYOSLLFUXYJDT-RDTXWAMCSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Lysergic acid diethylamide	MRQ4VBJ3F-FWYM7CSQ2Y-FYYBJTJ33BG-FYGMUUXA4ARR	N	I	LSD, lysergide	FDA-SRS	8NA5SWF92O	DEA SCHEDULE I	
DEA-7381	COc1cc(CCN)cc(OC)c1OC	InChIKey=RHCSKNNOAZULRK-UHFFFAOYSA-N	InChIKey=RHCSKNNOAZULRK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mescaline	2A5DGB58F-F4U8P6Y5W8-F8ABUL2CPCW-F8WTLY6BTXXK	N	I	Constituent of "Peyote" cacti	FDA-SRS	RHO99102VC	DEA SCHEDULE I	
DEA-7390	COc1cc(CC(C)N)cc(OC)c1OC	InChIKey=WGTASENVNYJZBK-UHFFFAOYSA-N	InChIKey=WGTASENVNYJZBK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	3,4,5-Trimethoxyamphetamine	2VCPM3A51-1D7SA13W9R-1RHWWHCCFG8-1R8W9C9YBD4N	N	I	TMA (Positional Isomers: 2,4,5-Trimethoxyamphetamine	FDA-SRS	P2K02L3YON	DEA SCHEDULE I	Need to add isomers
DEA-7392	COc1cc(CCN)c(OC)cc1Br	InChIKey=YMHOBZXQZVXHBM-UHFFFAOYSA-N	InChIKey=YMHOBZXQZVXHBM-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	4-Bromo-2,5-dimethoxyphenethylamine	SHJJVKASY-YQD2L3HWZY-YYKH61XRW26-YY6LFDU9PT33	N	I	2C-B, Nexus, has been sold as Ecstasy, i.e. MDMA	FDA-SRS	V77772N32H	DEA SCHEDULE I	
DEA-7395	COc1cc(CC(C)N)c(OC)cc1C	InChIKey=NTJQREUGJKIARY-UHFFFAOYSA-N	InChIKey=NTJQREUGJKIARY-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	4-Methyl-2,5-dimethoxyamphetamine	9PRJXDHTC-CNPNCV5F3K-CKA56R19CHK-CKKF8J3PDNQD	N	I	DOM, STP (Positional Isomer: 2,5-Dimethoxy-3,4dimethylphenethylamine	FDA-SRS	UKI9MLD5OI	DEA SCHEDULE I	
DEA-7396	COc1ccc(OC)c(CC(C)N)c1	InChIKey=LATVFYDIBMDBSY-UHFFFAOYSA-N	InChIKey=LATVFYDIBMDBSY-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2,5-Dimethoxyamphetamine	7C1CL167Z-ZQFDC9NVWU-ZU3YQXYZTPM-ZUMX3XGP33B3	N	I	DMA, 2,5-DMA	FDA-SRS	OIM1536TQQ	DEA SCHEDULE I	
DEA-7405	CNC(C)Cc1ccc2OCOc2c1	InChIKey=SHXWCVYOXRDMCX-UHFFFAOYSA-N	InChIKey=SHXWCVYOXRDMCX-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	3,4-Methylenedioxymethamphetamine	1X1Y46HSQ-QY3Z8RH56S-QSHUT9CKWWU-QSU2N2ZPKBBG	N	I	MDMA, Ecstasy, XTC	FDA-SRS	KE1SEN21RM	DEA SCHEDULE I	
